"Wavelength (nm)"	"Absorbance (AU)"	"Std.Dev."
     623.0	  -1.53828E-3	   5.47865E-5
     624.0	  -1.30796E-3	   7.30184E-5
     625.0	  -1.16682E-3	   9.13912E-5
     626.0	  -1.65939E-3	   6.18144E-5
     627.0	  -2.94209E-3	   8.72938E-5
     628.0	  -3.57199E-3	   6.49864E-5
     629.0	  -3.19338E-3	   4.35556E-5
     630.0	  -2.71988E-3	   7.10087E-5
     631.0	  -2.41613E-3	   6.65628E-5
     632.0	  -1.92451E-3	   6.66345E-5
     633.0	  -2.51436E-3	   7.37697E-5
     634.0	  -2.41041E-3	   8.19786E-5
     635.0	  -2.29120E-3	   5.30673E-5
     636.0	  -1.98555E-3	   4.83443E-5
     637.0	  -2.03705E-3	   6.72154E-5
     638.0	  -2.21014E-3	   7.90946E-5
     639.0	  -2.42043E-3	   8.48583E-5
     640.0	  -2.32744E-3	   1.09001E-4
     641.0	  -2.10667E-3	   9.79642E-5
     642.0	  -2.16055E-3	   9.19962E-5
     643.0	  -2.26593E-3	   8.80459E-5
     644.0	  -2.28691E-3	   1.22832E-4
     645.0	  -2.21395E-3	   1.01125E-4
     646.0	  -1.90401E-3	   1.21062E-4
     647.0	  -2.01797E-3	   1.14421E-4
     648.0	  -1.97887E-3	   7.95247E-5
     649.0	  -2.12765E-3	   9.98106E-5
     650.0	  -2.18201E-3	   9.34358E-5
     651.0	  -2.42949E-3	   6.35000E-5
     652.0	  -2.35081E-3	   6.20841E-5
     653.0	  -2.30980E-3	   6.81043E-5
     654.0	  -1.56450E-3	   1.07450E-4
     655.0	  -1.00470E-3	   6.85436E-5
     656.0	   1.15538E-3	   8.84658E-5
     657.0	   6.07967E-4	   1.01134E-4
     658.0	  -1.76048E-3	   6.61911E-5
     659.0	  -2.05231E-3	   5.46379E-5
     660.0	  -2.14052E-3	   5.40290E-5
     661.0	  -2.12669E-3	   5.10761E-5
     662.0	  -2.07376E-3	   8.31052E-5
     663.0	  -2.01321E-3	   1.03615E-4
     664.0	  -2.01893E-3	   7.98813E-5
     665.0	  -1.98555E-3	   7.39359E-5
     666.0	  -1.94216E-3	   1.01368E-4
     667.0	  -1.84298E-3	   7.87576E-5
     668.0	  -2.00367E-3	   9.90583E-5
     669.0	  -1.79386E-3	   6.03128E-5
     670.0	  -1.84870E-3	   3.50962E-5
     671.0	  -1.76144E-3	   5.44576E-5
     672.0	  -1.64795E-3	   6.35894E-5
     673.0	  -1.73235E-3	   5.63284E-5
     674.0	  -1.77574E-3	   6.14084E-5
     675.0	  -1.77050E-3	   6.03599E-5
     676.0	  -1.68324E-3	   6.16947E-5
     677.0	  -1.67847E-3	   5.78881E-5
     678.0	  -1.72997E-3	   7.44233E-5
     679.0	  -1.63651E-3	   7.00253E-5
     680.0	  -1.57404E-3	   8.08489E-5
     681.0	  -1.47009E-3	   7.38390E-5
     682.0	  -1.40715E-3	   8.13297E-5
     683.0	  -1.39999E-3	   7.00805E-5
     684.0	  -1.38664E-3	   7.84944E-5
     685.0	  -1.30367E-3	   6.50407E-5
     686.0	  -1.26314E-3	   5.07624E-5
     687.0	  -1.24788E-3	   5.87381E-5
     688.0	  -1.22452E-3	   6.69629E-5
     689.0	  -1.28555E-3	   7.33834E-5
     690.0	  -1.36375E-3	   6.21116E-5
     691.0	  -1.25551E-3	   6.68967E-5
     692.0	  -1.25837E-3	   7.07505E-5
     693.0	  -1.37091E-3	   6.79137E-5
     694.0	  -1.34993E-3	   4.81240E-5
     695.0	  -1.39189E-3	   4.68115E-5
     696.0	  -1.31893E-3	   6.10352E-5
     697.0	  -1.23358E-3	   4.91859E-5
     698.0	  -1.21593E-3	   5.51680E-5
     699.0	  -1.17493E-3	   4.59313E-5
     700.0	  -1.22976E-3	   7.00009E-5
     701.0	  -1.20544E-3	   5.74426E-5
     702.0	  -1.26076E-3	   4.60154E-5
     703.0	  -1.07718E-3	   6.28214E-5
     704.0	  -1.13535E-3	   7.81606E-5
     705.0	  -1.19114E-3	   8.82342E-5
     706.0	  -1.41191E-3	   4.54323E-5
     707.0	  -1.12963E-3	   4.24104E-5
     708.0	  -1.15681E-3	   4.12850E-5
     709.0	  -1.12867E-3	   6.93810E-5
     710.0	  -1.33133E-3	   5.40375E-5
     711.0	  -1.09625E-3	   4.53409E-5
     712.0	  -1.13535E-3	   6.16375E-5
     713.0	  -1.06287E-3	   6.29570E-5
     714.0	  -1.09434E-3	   5.34770E-5
     715.0	  -1.11675E-3	   5.78301E-5
     716.0	  -9.73701E-4	   6.38730E-5
     717.0	  -1.09339E-3	   7.97516E-5
     718.0	  -1.06001E-3	   6.92137E-5
     719.0	  -1.04856E-3	   7.63580E-5
     720.0	  -9.67503E-4	   7.46185E-5
     721.0	  -9.76562E-4	   5.11051E-5
     722.0	  -8.64983E-4	   4.71647E-5
     723.0	  -9.24587E-4	   4.98848E-5
     724.0	  -7.49588E-4	   5.23903E-5
     725.0	  -9.51767E-4	   6.65013E-5
     726.0	  -7.10964E-4	   6.29497E-5
     727.0	  -8.95023E-4	   4.45798E-5
     728.0	  -7.85828E-4	   4.41763E-5
     729.0	  -8.48293E-4	   6.88217E-5
     730.0	  -8.00610E-4	   6.78786E-5
     731.0	  -5.82218E-4	   5.48570E-5
     732.0	  -6.07014E-4	   7.66137E-5
     733.0	  -6.63280E-4	   8.21033E-5
     734.0	  -6.43730E-4	   5.62627E-5
     735.0	  -4.04835E-4	   5.13514E-5
     736.0	  -5.04971E-4	   7.60133E-5
     737.0	  -2.93255E-4	   7.87749E-5
     738.0	  -3.89576E-4	   6.71427E-5
     739.0	  -4.43459E-4	   6.85950E-5
     740.0	  -2.90871E-4	   6.52431E-5
     741.0	  -4.04835E-4	   5.72671E-5
     742.0	  -3.13759E-4	   4.83526E-5
     743.0	  -1.55449E-4	   6.42333E-5
     744.0	  -1.81198E-4	   7.23552E-5
     745.0	  -3.01361E-4	   5.36246E-5
     746.0	  -1.36375E-4	   5.99034E-5
     747.0	  -2.19345E-4	   6.16541E-5
     748.0	  -1.03951E-4	   7.32003E-5
     749.0	  -2.01225E-4	   6.67861E-5
     750.0	  -7.15256E-6	   6.76756E-5
     751.0	   1.90735E-5	   7.21822E-5
     752.0	   1.26839E-4	   7.09334E-5
     753.0	  -5.24521E-5	   6.67623E-5
     754.0	   1.57356E-4	   4.36651E-5
     755.0	  -2.28882E-5	   5.13436E-5
     756.0	  -5.14984E-5	   5.66122E-5
     757.0	  -9.29832E-5	   5.37379E-5
     758.0	   1.92165E-4	   4.84230E-5
     759.0	   1.36852E-4	   3.93470E-5
     760.0	  -2.86102E-6	   5.18241E-5
     761.0	   2.90871E-4	   3.89243E-5
     762.0	   1.15871E-4	   4.58248E-5
     763.0	  -1.23501E-4	   6.08738E-5
     764.0	   5.24521E-5	   5.03995E-5
     765.0	   1.20163E-4	   6.11040E-5
     766.0	   2.57969E-4	   6.52779E-5
     767.0	   1.08719E-4	   6.33440E-5
     768.0	  -1.25885E-4	   6.62031E-5
     769.0	   1.32084E-4	   4.91802E-5
     770.0	   2.37465E-4	   5.76362E-5
     771.0	   2.03133E-4	   6.28250E-5
     772.0	   2.89440E-4	   4.73596E-5
     773.0	   1.30653E-4	   5.63425E-5
     774.0	   9.91821E-5	   7.16843E-5
     775.0	  -2.62260E-5	   6.64448E-5
     776.0	   3.14713E-5	   6.19778E-5
     777.0	   1.90735E-6	   4.60648E-5
     778.0	   4.00543E-5	   5.09435E-5
     779.0	  -7.82013E-5	   5.40122E-5
     780.0	   1.96934E-4	   5.59812E-5
     781.0	   8.58307E-5	   4.82089E-5
     782.0	   1.71661E-5	   5.44524E-5
     783.0	   2.99931E-4	   3.63000E-5
     784.0	   2.00272E-4	   6.23035E-5
     785.0	   3.60489E-4	   6.61275E-5
     786.0	   3.36170E-4	   6.23928E-5
     787.0	   3.08514E-4	   5.31529E-5
     788.0	   2.29359E-4	   5.35620E-5
     789.0	   3.31879E-4	   5.94050E-5
     790.0	   3.10421E-4	   6.77629E-5
     791.0	   2.65121E-4	   6.33261E-5
     792.0	   4.48227E-4	   5.90133E-5
     793.0	   3.13759E-4	   5.29847E-5
     794.0	   2.55108E-4	   6.11524E-5
     795.0	   4.31061E-4	   7.08388E-5
     796.0	   4.96864E-4	   5.20168E-5
     797.0	   3.01838E-4	   4.86386E-5
     798.0	   3.39031E-4	   4.79453E-5
     799.0	   3.27587E-4	   5.42914E-5
     800.0	   4.83513E-4	   7.10055E-5
     801.0	   5.03540E-4	   5.89757E-5
     802.0	   4.96387E-4	   6.66908E-5
